Filename,End,ERRRate,N,Read,avg_num,avg_len,max_len,avg_prd
myasmb_p001,Paired,0.01,5000,100,544.3333333,217.3,3527,1
myasmb_p002,Paired,0.01,5000,200,524.6666667,222.9333333,2961,1.333333333
myasmb_p003,Paired,0.01,5000,300,502.3333333,233.2,3193,1.333333333
myasmb_p004,Paired,0.01,5000,400,530.6666667,221.3,5127,1
myasmb_p005,Paired,0.01,5000,500,556,212.6666667,3311,0.333333333
myasmb_p006,Paired,0.01,5000,600,506.3333333,230.4666667,3555,1.333333333
myasmb_p007,Paired,0.01,5000,700,543.6666667,216.4,2524,1
myasmb_p008,Paired,0.01,5000,800,551.3333333,214.6,3016,0
myasmb_p009,Paired,0.01,5000,900,541.3333333,217.4,4063,1.666666667
myasmb_p010,Paired,0.01,5000,1000,529.3333333,222.3333333,3383,3
myasmb_p011,Paired,0.01,10000,100,1269.333333,113.6,1531,0.666666667
myasmb_p012,Paired,0.01,10000,200,1282,112.5333333,1799,1
myasmb_p013,Paired,0.01,10000,300,1274.333333,112.9333333,1644,0
myasmb_p014,Paired,0.01,10000,400,1237.333333,115.1,1864,0.333333333
myasmb_p015,Paired,0.01,10000,500,1250,114.7666667,1463,1.333333333
myasmb_p016,Paired,0.01,10000,600,1267,113.5,1984,0
myasmb_p017,Paired,0.01,10000,700,1238.333333,115.5666667,1611,0
myasmb_p018,Paired,0.01,10000,800,1294.333333,112.2,1808,0
myasmb_p019,Paired,0.01,10000,900,1263.666667,114,1543,0.333333333
myasmb_p020,Paired,0.01,10000,1000,1276.333333,112.7,2209,0.333333333
myasmb_p021,Paired,0.001,5000,100,128,802.6,15447,4.666666667
myasmb_p022,Paired,0.001,5000,200,125.6666667,812.5,15447,4
myasmb_p023,Paired,0.001,5000,300,128,794.9,14783,4.666666667
myasmb_p024,Paired,0.001,5000,400,120.6666667,844,15444,4
myasmb_p025,Paired,0.001,5000,500,119.6666667,854.7333333,15443,4.666666667
myasmb_p026,Paired,0.001,5000,600,125.3333333,812.0666667,15443,3.666666667
myasmb_p027,Paired,0.001,5000,700,126.3333333,807.2,15442,3.666666667
myasmb_p028,Paired,0.001,5000,800,120.6666667,841.6666667,15443,4.666666667
myasmb_p029,Paired,0.001,5000,900,123.6666667,820.7,11004,3.333333333
myasmb_p030,Paired,0.001,5000,1000,123.3333333,827.0333333,13147,5
myasmb_p031,Paired,0.001,10000,100,141,729.5666667,15444,3
myasmb_p032,Paired,0.001,10000,200,128,798.9666667,15440,4.666666667
myasmb_p033,Paired,0.001,10000,300,134,769.5666667,15444,5.333333333
myasmb_p034,Paired,0.001,10000,400,133,770.6,15446,5
myasmb_p035,Paired,0.001,10000,500,135,766.9,15443,4.333333333
myasmb_p036,Paired,0.001,10000,600,136,759.9333333,13004,4.333333333
myasmb_p037,Paired,0.001,10000,700,132.3333333,774.1,13863,4
myasmb_p038,Paired,0.001,10000,800,143.3333333,716.0333333,10089,4
myasmb_p039,Paired,0.001,10000,900,135.6666667,755.2666667,15444,3.333333333
myasmb_p040,Paired,0.001,10000,1000,143,717.2,15442,3.666666667
myasmb_p041,Paired,0.0001,10000,100,121.3333333,841.5333333,15440,3.666666667
myasmb_p042,Paired,0.0001,10000,200,117.3333333,867.1333333,15445,5
myasmb_p043,Paired,0.0001,10000,300,119.3333333,854.1,15444,3.666666667
myasmb_p044,Paired,0.0001,10000,400,115,884.1,15444,4.666666667
myasmb_p045,Paired,0.0001,10000,500,120.3333333,851.3666667,15445,4.666666667
myasmb_p046,Paired,0.0001,10000,600,116.3333333,876.9,15443,3.666666667
myasmb_p047,Paired,0.0001,10000,700,116,878.1666667,15443,4.333333333
myasmb_p048,Paired,0.0001,10000,800,123,829.7666667,15442,5.666666667
myasmb_p049,Paired,0.0001,10000,900,114.3333333,890.0666667,15446,4.333333333
myasmb_p050,Paired,0.0001,10000,1000,113.3333333,896.9333333,15444,3.666666667
myasmb_p051,Paired,0.0001,5000,100,127,805.3666667,13094,4.333333333
myasmb_p052,Paired,0.0001,5000,200,118.6666667,859.4,16402,4
myasmb_p053,Paired,0.0001,5000,300,118,859.8333333,15444,3.333333333
myasmb_p054,Paired,0.0001,5000,400,126.3333333,806.0333333,15444,3.666666667
myasmb_p055,Paired,0.0001,5000,500,116.3333333,872.7666667,13992,3.666666667
myasmb_p056,Paired,0.0001,5000,600,124,825.5666667,15441,4
myasmb_p057,Paired,0.0001,5000,700,118,861.1666667,15444,4.333333333
myasmb_p058,Paired,0.0001,5000,800,120.3333333,844.0666667,15441,3.666666667
myasmb_p059,Paired,0.0001,5000,900,125,814.3666667,10394,4
myasmb_p060,Paired,0.0001,5000,1000,127.3333333,798.3333333,15427,3.333333333
myasmb_p061,Paired,0.01,100000,100,31094.33333,35.33333333,148,0
myasmb_p062,Paired,0.01,100000,200,30676.66667,35.3,172,0
myasmb_p063,Paired,0.01,100000,300,31345.66667,35.3,139,0
myasmb_p064,Paired,0.01,100000,400,31727.66667,35.3,175,0
myasmb_p065,Paired,0.01,100000,500,30502.66667,35.33333333,215,0.333333
myasmb_p066,Paired,0.01,100000,600,31262.66667,35.26666667,141,0
myasmb_p067,Paired,0.01,100000,700,30825,35.33333333,184,0
myasmb_p068,Paired,0.01,100000,800,31552.66667,35.26666667,196,0
myasmb_p069,Paired,0.01,100000,900,31099,35.33333333,164,0
myasmb_p070,Paired,0.01,100000,1000,31433.33333,35.3,135,0
