Filename,End,ERRRate,N,Read,avg_num,avg_len,max_len,avg_prd
myasmb_s001,Single,0.01,5000,100,380.3333333,288.6666667,"3,843",0.666666667
myasmb_s002,Single,0.01,5000,200,358.3333333,305.3333333,"4,867",2.666666667
myasmb_s003,Single,0.01,5000,300,363.3333333,301.5333333,"3,208",1.666666667
myasmb_s004,Single,0.01,5000,400,378.6666667,290.3333333,"5,405",2.333333333
myasmb_s005,Single,0.01,5000,500,353,309.9666667,"4,405",0.666666667
myasmb_s006,Single,0.01,5000,600,376,292.6333333,"4,270",1
myasmb_s007,Single,0.01,5000,700,373.6666667,293.5333333,"5,208",1.666666667
myasmb_s008,Single,0.01,5000,800,355.3333333,307.4,"3,634",2.666666667
myasmb_s009,Single,0.01,5000,900,378.3333333,290.8,"3,812",2.333333333
myasmb_s010,Single,0.01,5000,1000,379,290.9,"4,069",1.666666667
myasmb_s011,Single,0.01,10000,100,719.6666667,173.5333333,"2,964",0.666666667
myasmb_s012,Single,0.01,10000,200,711,174.9333333,"3,620",0.666666667
myasmb_s013,Single,0.01,10000,300,735.6666667,169.9666667,"3,695",1.666666667
myasmb_s014,Single,0.01,10000,400,744.6666667,168.1,"2,460",1
myasmb_s015,Single,0.01,10000,500,760.6666667,165.8,"2,927",1.333333333
myasmb_s016,Single,0.01,10000,600,710,175.5666667,"2,556",0.666666667
myasmb_s017,Single,0.01,10000,700,742.6666667,169.0333333,"2,394",0
myasmb_s018,Single,0.01,10000,800,729.6666667,172.2333333,"3,452",1
myasmb_s019,Single,0.01,10000,900,752.6666667,167.7666667,"3,208",0.666666667
myasmb_s020,Single,0.01,10000,1000,775,163.6,"3,706",1
myasmb_s021,Single,0.001,5000,100,138,736.2666667,"14,356",4.333333333
myasmb_s022,Single,0.001,5000,200,132,767.8333333,"10,089",5
myasmb_s023,Single,0.001,5000,300,138.3333333,735.0666667,"9,509",5
myasmb_s024,Single,0.001,5000,400,149.6666667,682.8666667,"13,531",4.333333333
myasmb_s025,Single,0.001,5000,500,136.6666667,742.6333333,"12,609",4.666666667
myasmb_s026,Single,0.001,5000,600,140.3333333,731.5666667,"10,088",4
myasmb_s027,Single,0.001,5000,700,152.6666667,677.1,"10,938",3
myasmb_s028,Single,0.001,5000,800,136.6666667,742.2666667,"9,026",4.333333333
myasmb_s029,Single,0.001,5000,900,143.3333333,715.1666667,"13,975",3.333333333
myasmb_s030,Single,0.001,5000,1000,144.6666667,706.2666667,"9,116",3.333333333
myasmb_s031,Single,0.001,10000,100,127.3333333,802.8666667,"10,089",3.333333333
myasmb_s032,Single,0.001,10000,200,124.6666667,819.8,"15,445",4
myasmb_s033,Single,0.001,10000,300,127.6666667,799.9333333,"15,447",6
myasmb_s034,Single,0.001,10000,400,129.6666667,789.0666667,"11,494",4.333333333
myasmb_s035,Single,0.001,10000,500,132.6666667,772.5666667,"15,361",5.666666667
myasmb_s036,Single,0.001,10000,600,126,810.3666667,"15,445",4.333333333
myasmb_s037,Single,0.001,10000,700,125.3333333,815.8,"15,444",5.333333333
myasmb_s038,Single,0.001,10000,800,126,811.1666667,"13,770",4.333333333
myasmb_s039,Single,0.001,10000,900,130.3333333,796.4,"15,447",4.333333333
myasmb_s040,Single,0.001,10000,1000,126.6666667,805.7666667,"16,403",4
myasmb_s041,Single,0.0001,10000,100,150,681.3666667,"9,779",3
myasmb_s042,Single,0.0001,10000,200,134,758.7,"10,089",3
myasmb_s043,Single,0.0001,10000,300,144.6666667,706.8333333,"12,022",4.333333333
myasmb_s044,Single,0.0001,10000,400,140,743.0333333,"8,814",2.666666667
myasmb_s045,Single,0.0001,10000,500,138.6666667,740.2,"11,160",3.333333333
myasmb_s046,Single,0.0001,10000,600,138,735.4,"9,995",5
myasmb_s047,Single,0.0001,10000,700,142,716.4,"10,089",3
myasmb_s048,Single,0.0001,10000,800,140.6666667,724.3666667,"11,762",4
myasmb_s049,Single,0.0001,10000,900,138.3333333,733.9666667,"9,380",4
myasmb_s050,Single,0.0001,10000,1000,139.3333333,732.8,"15,439",3
myasmb_s051,Single,0.0001,5000,100,116,877.5666667,"15,445",3.666666667
myasmb_s052,Single,0.0001,5000,200,116,876.8333333,"15,446",4.333333333
myasmb_s053,Single,0.0001,5000,300,117.3333333,867.8666667,"15,444",4
myasmb_s054,Single,0.0001,5000,400,114.3333333,892.0666667,"15,444",3.666666667
myasmb_s055,Single,0.0001,5000,500,116,877.2333333,"15,444",5
myasmb_s056,Single,0.0001,5000,600,113.3333333,896.9666667,"15,443",4.333333333
myasmb_s057,Single,0.0001,5000,700,112.3333333,908.5,"15,444",4.666666667
myasmb_s058,Single,0.0001,5000,800,120,848.6,"15,446",5.333333333
myasmb_s059,Single,0.0001,5000,900,110.6666667,918.0333333,"15,444",5
myasmb_s060,Single,0.0001,5000,1000,115,884.9666667,"15,444",4
myasmb_s061,Single,0.01,100000,100,16363,37.5,214,0
myasmb_s062,Single,0.01,100000,200,16088.33333,37.53333333,231,0
myasmb_s063,Single,0.01,100000,300,16663.33333,37.46666667,205,0
myasmb_s064,Single,0.01,100000,400,16531.33333,37.5,183,0
myasmb_s065,Single,0.01,100000,500,16699,37.4,187,0
myasmb_s066,Single,0.01,100000,600,16898,37.43333333,178,0
myasmb_s067,Single,0.01,100000,700,16661.66667,37.5,191,0
myasmb_s068,Single,0.01,100000,800,16799,37.56666667,221,0
myasmb_s069,Single,0.01,100000,900,15799.33333,37.5,228,0
myasmb_s070,Single,0.01,100000,1000,16426.33333,37.43333333,201,0
